job_titles,ai_impact,tasks,ai_models,ai_workload_ratio,domain
Communications Manager,98.0,365,2546,0.143362136684996,Communication & PR
Data Entry,95.0,325,2278,0.1426690079016681,Administrative & Clerical
Data Collector,95.0,299,2148,0.1391992551210428,Data & IT
Mail Clerk,95.0,193,1366,0.1412884333821376,Leadership & Strategy
Compliance Officer,92.0,194,1369,0.1417092768444119,Medical & Healthcare
Chief Executive Officer (CEO),91.0,153,1135,0.1348017621145374,Supply Chain & Logistics
Mail Handler,90.0,188,1350,0.1392592592592592,Communication & PR
Data Clerk,90.0,317,2258,0.1403897254207263,Data & IT
Data Entry Specialist,90.0,334,2358,0.1416454622561492,Medical & Healthcare
Street Sweeper,90.0,3,82,0.0365853658536585,Law Enforcement
Chief Strategy Officer,90.0,184,1284,0.1433021806853582,Construction
Therapist,90.0,114,983,0.1159715157680569,Law Enforcement
Web Search Evaluator,90.0,243,1599,0.1519699812382739,Hospitality
Admin,90.0,253,2014,0.1256206554121152,Sales & Marketing
Warehouse Worker,90.0,68,607,0.1120263591433278,Sales & Marketing
Medical Transcriptionist,90.0,189,1265,0.1494071146245059,Supply Chain & Logistics
Data Entry Operator,90.0,329,2311,0.1423626135871916,Leadership & Strategy
Data Entry Clerk,90.0,328,2305,0.1422993492407809,Administrative & Clerical
General Clerk,90.0,242,1903,0.1271676300578034,Hospitality
Supply Clerk,90.0,115,901,0.1276359600443951,Construction
Development Manager,89.0,217,1558,0.1392811296534018,Communication & PR
Chief Security Officer,88.0,142,1116,0.1272401433691756,Administrative & Clerical
Mail Processing,88.0,189,1336,0.1414670658682634,Medical & Healthcare
Delivery Driver,88.0,20,309,0.0647249190938511,Data & IT
File Clerk,88.0,228,1797,0.1268781302170283,Leadership & Strategy
Director Of Operations,87.0,198,1397,0.1417322834645669,Supply Chain & Logistics
Direct Support Professional,86.0,117,1018,0.1149312377210216,Law Enforcement
Executive Assistant,85.0,276,2112,0.1306818181818181,Hospitality
General Office Clerk,85.0,245,1912,0.1281380753138075,Communication & PR
Transcriber,85.0,205,1359,0.1508462104488594,Data & IT
Special Agent,85.0,45,462,0.0974025974025974,Supply Chain & Logistics
Chief Communications Officer,85.0,284,2118,0.1340887629839471,Construction
Sql Programmer,85.0,179,1665,0.1075075075075075,Administrative & Clerical
Vba Developer,85.0,191,1672,0.1142344497607655,Leadership & Strategy
Medical Scribe,85.0,202,1696,0.1191037735849056,Medical & Healthcare
Purchasing Clerk,85.0,180,1306,0.1378254211332312,Law Enforcement
Telemarketer,85.0,179,1281,0.1397345823575331,Sales & Marketing
Bricklayer,85.0,3,30,0.1,Construction
Administrative Clerk,85.0,270,2070,0.1304347826086956,Sales & Marketing
Bakery Manager,84.0,97,804,0.1206467661691542,Hospitality
Banquet Manager,83.0,99,802,0.1234413965087281,Communication & PR
Clerk Typist,83.0,263,1986,0.1324269889224572,Data & IT
Business Relationship Manager,82.0,194,1467,0.1322426721199727,Leadership & Strategy
Assistant,82.0,240,1600,0.15,Administrative & Clerical
Finance Officer,80.0,167,1516,0.1101583113456464,Construction
Clerical Assistant,80.0,265,2004,0.1322355289421157,Construction
Order Filler,80.0,133,1021,0.1302644466209598,Hospitality
Grocer,80.0,50,377,0.1326259946949602,Law Enforcement
Executive Administrative Assistant,80.0,279,2124,0.1313559322033898,Sales & Marketing
Automation Test Engineer,80.0,159,1547,0.1027795733678086,Law Enforcement
QA Automation Engineer,80.0,155,1525,0.101639344262295,Sales & Marketing
Automation Tester,80.0,158,1541,0.1025308241401687,Construction
Data Modeler,80.0,216,1767,0.1222410865874363,Medical & Healthcare
Database Analyst,80.0,218,1773,0.122955442752397,Supply Chain & Logistics
Warehouse Associate,80.0,78,664,0.1174698795180722,Administrative & Clerical
Tax Preparer,80.0,153,1263,0.1211401425178147,Hospitality
Procurement Assistant,80.0,179,1316,0.1360182370820668,Communication & PR
Receiving Associate,80.0,92,733,0.1255115961800818,Data & IT
Database Developer,80.0,205,1726,0.1187717265353418,Law Enforcement
Etl Developer,80.0,184,1670,0.1101796407185628,Construction
Hadoop Developer,80.0,181,1643,0.1101643335362142,Sales & Marketing
Sql Analyst,80.0,212,1761,0.1203861442362294,Hospitality
Word Processor,80.0,264,1707,0.1546572934973638,Sales & Marketing
Press Operator,80.0,84,1077,0.0779944289693593,Leadership & Strategy
Market Research Interviewer,80.0,210,1825,0.1150684931506849,Hospitality
Pl Sql Developer,80.0,183,1686,0.1085409252669039,Communication & PR
Pressman,80.0,83,1068,0.0777153558052434,Medical & Healthcare
Quantitative Developer,80.0,182,1667,0.1091781643671265,Data & IT
Statistical Programmer,80.0,187,1669,0.1120431396045536,Administrative & Clerical
Tableau Developer,80.0,188,1668,0.1127098321342925,Leadership & Strategy
Records Clerk,80.0,222,1784,0.124439461883408,Communication & PR
Printing Press Operator,80.0,93,1065,0.0873239436619718,Supply Chain & Logistics
Scribe,80.0,202,1623,0.1244608749229821,Data & IT
Typist,80.0,208,1364,0.1524926686217008,Administrative & Clerical
Distribution Manager,80.0,198,1436,0.1378830083565459,Medical & Healthcare
Dishwasher,80.0,3,31,0.0967741935483871,Leadership & Strategy
Administrative Assistant,80.0,286,2155,0.1327146171693735,Supply Chain & Logistics
Digital Project Manager,80.0,231,1922,0.1201873048907388,Medical & Healthcare
Technical Project Manager,80.0,205,1521,0.1347797501643655,Supply Chain & Logistics
Administrative Secretary,80.0,268,2076,0.1290944123314065,Law Enforcement
Associate,79.0,175,1298,0.1348228043143297,Communication & PR
Chief Learning Officer,79.0,162,1250,0.1296,Data & IT
Medical Coding Specialist,78.0,171,1250,0.1368,Leadership & Strategy
Web Project Manager,78.0,217,1845,0.1176151761517615,Administrative & Clerical
Front Desk,77.0,215,1779,0.1208544125913434,Medical & Healthcare
Credit Manager,76.0,151,1094,0.1380255941499086,Supply Chain & Logistics
Backend Developer,75.0,144,1012,0.1422924901185771,Data & IT
Statistical Analyst,75.0,166,1087,0.1527138914443422,Communication & PR
It Project Manager,75.0,221,1840,0.1201086956521739,Administrative & Clerical
Software Project Manager,75.0,175,1442,0.1213592233009708,Leadership & Strategy
Supply Technician,75.0,121,979,0.1235955056179775,Leadership & Strategy
Purchasing Assistant,75.0,163,1417,0.1150317572335921,Administrative & Clerical
Quantitative Analyst,75.0,8,46,0.1739130434782608,Law Enforcement
Quantitative Research Analyst,75.0,168,1096,0.1532846715328467,Construction
Ux Developer,75.0,9,48,0.1875,Sales & Marketing
Stenographer,75.0,8,49,0.1632653061224489,Hospitality
Database Engineer,75.0,12,55,0.2181818181818181,Medical & Healthcare
Gis Developer,75.0,9,48,0.1875,Supply Chain & Logistics
Data Architect,75.0,162,1081,0.1498612395929695,Administrative & Clerical
Database Designer,75.0,162,1081,0.1498612395929695,Leadership & Strategy
Android Developer,75.0,147,1393,0.1055276381909547,Medical & Healthcare
Ios Developer,75.0,148,1394,0.1061692969870875,Supply Chain & Logistics
Corporate Receptionist,75.0,15,58,0.2586206896551724,Leadership & Strategy
Administrative Coordinator,75.0,281,2128,0.1320488721804511,Administrative & Clerical
Accounting Clerk,75.0,145,1299,0.1116243264049268,Communication & PR
Administrative Associate,75.0,281,2139,0.131369798971482,Data & IT
Desk Receptionist,75.0,14,56,0.25,Medical & Healthcare
Executive Secretary,75.0,159,1176,0.135204081632653,Supply Chain & Logistics
Photo Retoucher,75.0,193,1464,0.1318306010928961,Sales & Marketing
Full Charge Bookkeeper,75.0,123,858,0.1433566433566433,Hospitality
Informatica Developer,75.0,131,925,0.1416216216216216,Law Enforcement
Ui Developer,75.0,152,1088,0.1397058823529411,Construction
Front Desk Clerk,75.0,223,1801,0.1238200999444752,Law Enforcement
Front Desk Receptionist,75.0,225,1803,0.124792013311148,Construction
Technology Project Manager,75.0,175,1443,0.1212751212751212,Medical & Healthcare
Cobol Developer,75.0,130,929,0.1399354144241119,Supply Chain & Logistics
Advertising Manager,75.0,195,1370,0.1423357664233576,Law Enforcement
Caller,75.0,131,1085,0.12073732718894,Construction
Order Clerk,75.0,151,1336,0.1130239520958083,Communication & PR
Medical Coder,75.0,109,773,0.1410090556274256,Data & IT
Report Developer,75.0,146,969,0.1506707946336429,Sales & Marketing
Sas Developer,75.0,133,932,0.1427038626609442,Hospitality
Phone Sales,75.0,11,54,0.2037037037037037,Sales & Marketing
Telesales Representative,75.0,145,1049,0.1382268827454718,Hospitality
Chief Of Staff,75.0,180,1405,0.1281138790035587,Law Enforcement
Intelligence Analyst,75.0,169,1185,0.1426160337552742,Construction
Grant Accountant,75.0,128,886,0.1444695259593679,Communication & PR
Epic Analyst,75.0,114,798,0.1428571428571428,Data & IT
Front Office Receptionist,75.0,226,1812,0.1247240618101545,Sales & Marketing
Mail Sorter,75.0,136,1219,0.1115668580803937,Hospitality
Allocation Analyst,74.0,155,1102,0.1406533575317604,Communication & PR
Business Operations Manager,71.0,163,1330,0.1225563909774436,Data & IT
Public Safety Dispatcher,70.0,164,1039,0.1578440808469682,Law Enforcement
Polygraph Examiner,70.0,101,770,0.1311688311688311,Supply Chain & Logistics
Police Dispatcher,70.0,164,1039,0.1578440808469682,Medical & Healthcare
Pega Developer,70.0,132,932,0.1416309012875536,Construction
Perl Developer,70.0,129,927,0.1391585760517799,Law Enforcement
Purchasing Buyer,70.0,164,1427,0.114926419060967,Supply Chain & Logistics
Distribution Clerk,70.0,10,52,0.1923076923076923,Medical & Healthcare
Postal Clerk,70.0,10,52,0.1923076923076923,Leadership & Strategy
Regulatory Analyst,70.0,183,1105,0.1656108597285067,Construction
Fund Accountant,70.0,130,874,0.148741418764302,Hospitality
Financial Specialist,70.0,174,1127,0.1543921916592724,Sales & Marketing
Appointment Scheduler,70.0,165,1212,0.1361386138613861,Supply Chain & Logistics
Robotics Engineer,70.0,111,804,0.1380597014925373,Medical & Healthcare
J2Ee Developer,70.0,141,983,0.143438453713123,Leadership & Strategy
Full Stack Developer,70.0,154,1044,0.1475095785440613,Administrative & Clerical
Front End Web Developer,70.0,159,1055,0.1507109004739336,Data & IT
Front End Engineer,70.0,158,1093,0.1445562671546203,Communication & PR
Investigative Analyst,70.0,194,1175,0.1651063829787234,Leadership & Strategy
Emergency Dispatcher,70.0,156,1015,0.1536945812807881,Administrative & Clerical
Medical Collector,70.0,10,52,0.1923076923076923,Administrative & Clerical
Credit Officer,70.0,174,1452,0.1198347107438016,Medical & Healthcare
Credit Analyst,70.0,169,1398,0.1208869814020028,Leadership & Strategy
Bank Teller,70.0,113,824,0.137135922330097,Administrative & Clerical
Electrical Technician,70.0,6,45,0.1333333333333333,Supply Chain & Logistics
Ultrasound Technologist,70.0,76,566,0.1342756183745583,Medical & Healthcare
Actuary,70.0,131,1251,0.1047162270183852,Construction
Infrastructure Architect,70.0,148,1304,0.1134969325153374,Law Enforcement
Sql Database Developer,70.0,10,49,0.2040816326530612,Supply Chain & Logistics
Oracle Developer,70.0,8,46,0.1739130434782608,Medical & Healthcare
Security Consultant,70.0,151,986,0.1531440162271805,Sales & Marketing
Ecommerce,70.0,161,1513,0.1064111037673496,Administrative & Clerical
Document Processor,70.0,178,1448,0.1229281767955801,Construction
Desk Clerk,70.0,120,765,0.1568627450980392,Law Enforcement
Net Developer,70.0,8,46,0.1739130434782608,Hospitality
Teradata Developer,70.0,8,46,0.1739130434782608,Sales & Marketing
