% of respondents that “agree”,Opinion on products and services using AI,Year,source_file,Country,"% of respondents that ""Agree""",Statement,% agreeing with statement,pp. change
67%,I have a good understanding of what artificial intelligence is,2024,fig_8.1.1.csv,,,,,
52%,I know which types of products and services use artificial intelligence,2024,fig_8.1.1.csv,,,,,
50%,Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,2024,fig_8.1.1.csv,,,,,
66%,Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,2024,fig_8.1.1.csv,,,,,
55%,Products and services using artificial intelligence have more benefits than drawbacks,2024,fig_8.1.1.csv,,,,,
45%,I trust people not to discriminate or show bias toward any group of people,2024,fig_8.1.1.csv,,,,,
54%,I trust artificial intelligence to not discriminate or show bias toward any group of people,2024,fig_8.1.1.csv,,,,,
47%,I trust that companies that use artificial intelligence will protect my personal data,2024,fig_8.1.1.csv,,,,,
50%,Products and services using artificial intelligence make me nervous,2024,fig_8.1.1.csv,,,,,
67%,I have a good understanding of what artificial intelligence is,2023,fig_8.1.1.csv,,,,,
51%,I know which types of products and services use artificial intelligence,2023,fig_8.1.1.csv,,,,,
49%,Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,2023,fig_8.1.1.csv,,,,,
66%,Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,2023,fig_8.1.1.csv,,,,,
54%,Products and services using artificial intelligence have more benefits than drawbacks,2023,fig_8.1.1.csv,,,,,
56%,I trust artificial intelligence to not discriminate or show bias toward any group of people,2023,fig_8.1.1.csv,,,,,
50%,I trust that companies that use artificial intelligence will protect my personal data,2023,fig_8.1.1.csv,,,,,
52%,Products and services using artificial intelligence make me nervous,2023,fig_8.1.1.csv,,,,,
64%,I have a good understanding of what artificial intelligence is,2022,fig_8.1.1.csv,,,,,
50%,I know which types of products and services use artificial intelligence,2022,fig_8.1.1.csv,,,,,
49%,Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,2022,fig_8.1.1.csv,,,,,
60%,Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,2022,fig_8.1.1.csv,,,,,
52%,Products and services using artificial intelligence have more benefits than drawbacks,2022,fig_8.1.1.csv,,,,,
39%,Products and services using artificial intelligence make me nervous,2022,fig_8.1.1.csv,,,,,
,,2022,fig_8.1.2.csv,China ,78%,,,
,,2022,fig_8.1.2.csv,Indonesia ,,,,
,,2022,fig_8.1.2.csv,Thailand ,,,,
,,2022,fig_8.1.2.csv,Mexico ,65%,,,
,,2022,fig_8.1.2.csv,Peru ,70%,,,
,,2022,fig_8.1.2.csv,Turkey ,60%,,,
,,2022,fig_8.1.2.csv,Colombia ,64%,,,
,,2022,fig_8.1.2.csv,Singapore ,,,,
,,2022,fig_8.1.2.csv,South Korea ,62%,,,
,,2022,fig_8.1.2.csv,Malaysia ,65%,,,
,,2022,fig_8.1.2.csv,India ,71%,,,
,,2022,fig_8.1.2.csv,South Africa ,57%,,,
,,2022,fig_8.1.2.csv,Chile ,63%,,,
,,2022,fig_8.1.2.csv,Argentina ,55%,,,
,,2022,fig_8.1.2.csv,Brazil ,57%,,,
,,2022,fig_8.1.2.csv,Italy ,50%,,,
,,2022,fig_8.1.2.csv,Hungary ,49%,,,
,,2022,fig_8.1.2.csv,Spain ,53%,,,
,,2022,fig_8.1.2.csv,Japan ,42%,,,
,,2022,fig_8.1.2.csv,New Zealand ,,,,
,,2022,fig_8.1.2.csv,Germany ,37%,,,
,,2022,fig_8.1.2.csv,Great Britain ,38%,,,
,,2022,fig_8.1.2.csv,Ireland ,,,,
,,2022,fig_8.1.2.csv,Australia ,37%,,,
,,2022,fig_8.1.2.csv,Poland ,48%,,,
,,2022,fig_8.1.2.csv,Sweden ,40%,,,
,,2022,fig_8.1.2.csv,Switzerland ,,,,
,,2022,fig_8.1.2.csv,France ,31%,,,
,,2022,fig_8.1.2.csv,Canada ,32%,,,
,,2022,fig_8.1.2.csv,United States ,35%,,,
,,2022,fig_8.1.2.csv,Belgium ,38%,,,
,,2022,fig_8.1.2.csv,Netherlands ,33%,,,
,,2022,fig_8.1.2.csv,Romania ,,,,
,,2022,fig_8.1.2.csv,Russia ,53%,,,
,,2022,fig_8.1.2.csv,Saudi Arabia ,76%,,,
,,2023,fig_8.1.2.csv,China ,,,,
,,2023,fig_8.1.2.csv,Indonesia ,78%,,,
,,2023,fig_8.1.2.csv,Thailand ,74%,,,
,,2023,fig_8.1.2.csv,Mexico ,73%,,,
,,2023,fig_8.1.2.csv,Peru ,67%,,,
,,2023,fig_8.1.2.csv,Turkey ,67%,,,
,,2023,fig_8.1.2.csv,Colombia ,65%,,,
,,2023,fig_8.1.2.csv,Singapore ,64%,,,
