job_titles,Avg_AI_Risk_Score
.Net Developer,65.0
3D Animator,50.0
3D Artist,50.0
3D Designer,25.0
3D Modeler,60.0
911 Dispatcher,60.0
911 Operator,60.0
Aba Therapist,10.0
Abap Developer,65.0
Academic Administrator,10.0
Academic Advisor,15.0
Academic Counselor,15.0
Academic Dean,10.0
Academic Director,10.0
Academic Tutor,10.0
Accessioner,60.0
Accompanist,5.0
Account Administrator,30.0
Account Analyst,45.0
Account Assistant,10.0
Account Coordinator,10.0
Account Executive,15.0
Account Representative,25.0
Accountant,60.0
Accounting Administrator,25.0
Accounting Analyst,45.0
Accounting Assistant,30.0
Accounting Associate,30.0
Accounting Auditor,40.0
Accounting Clerk,75.0
Accounting Consultant,35.0
Accounting Director,25.0
Accounting Instructor,10.0
Accounting Professor,5.0
Accounting Specialist,30.0
Accounting Technician,35.0
Accounting Tutor,5.0
Accounts Payable,60.0
Accounts Payable Analyst,45.0
Accounts Payable Assistant,30.0
Accounts Payable Clerk,30.0
Accounts Payable Coordinator,25.0
Accounts Payable Specialist,40.0
Accounts Receivable Clerk,35.0
Accounts Receivable Specialist,40.0
Acquisition Specialist,25.0
Activist,10.0
Activities Coordinator,15.0
Activities Director,10.0
Activity Assistant,5.0
Actor,10.0
Actuarial Analyst,50.0
Actuary,70.0
Acupuncturist,10.0
Acute Care Nurse Practitioner,35.0
Addiction Counselor,15.0
Adjunct Instructor,5.0
Adjunct Nursing Faculty,5.0
Adjunct Professor,5.0
Adjunct Teacher,5.0
Adjuster,35.0
Admin,90.0
Administration,60.0
Administration Manager,55.0
Administrative Analyst,30.0
Administrative Assistant,80.0
Administrative Associate,75.0
Administrative Clerk,85.0
Administrative Coordinator,75.0
Administrative Director,60.0
Administrative Law Judge,10.0
Administrative Manager,50.0
Administrative Officer,65.0
Administrative Secretary,80.0
Administrative Services Manager,35.0
Administrative Specialist,65.0
Administrator,30.0
Admissions Advisor,5.0
Admissions Assistant,25.0
Admissions Coordinator,5.0
Admissions Counselor,15.0
Admissions Officer,10.0
Admissions Representative,15.0
Admitting Clerk,30.0
Advertising Account Executive,30.0
Advertising Assistant,10.0
Advertising Coordinator,10.0
Advertising Director,15.0
Advertising Manager,75.0
Advertising Sales,25.0
Advertising Sales Representative,45.0
Advocate,10.0
Aerial Lineman,10.0
Aeronautical Engineer,43.0
Aerospace Engineer,55.0
Aerospace Technician,28.0
Aesthetic Nurse,35.0
Aesthetician,5.0
Affiliate Manager,5.0
After School Teacher,20.0
Agency Nurse,50.0
Agent,40.0
Agile Coach,10.0
Agile Project Manager,45.0
Agricultural Engineer,43.0
Agriculture Teacher,15.0
Agronomist,40.0
Aide,25.0
Air Marshal,40.0
Air Traffic Controller,10.0
Aircraft Assembler,35.0
Aircraft Cleaner,11.0
Aircraft Dispatcher,15.0
Aircraft Electrician,15.0
Aircraft Engineer,35.0
Aircraft Fueler,40.0
Aircraft Inspector,25.0
Aircraft Maintenance Technician,35.0
Aircraft Mechanic,35.0
Aircraft Painter,40.0
Aircraft Technician,40.0
Airline Pilot,20.0
Airport,5.0
Airport Attendant,15.0
Allocation Analyst,74.0
Ambassador,10.0
Aml Analyst,25.0
Analog Design Engineer,65.0
Analyst,55.0
Analytical Chemist,35.0
Analytical Scientist,50.0
Analytics Consultant,30.0
Analytics Manager,30.0
Anchor,40.0
Android Developer,75.0
Anesthesiologist,30.0
Anesthesiologist Assistant,40.0
Animal Care Technician,5.0
Animal Caretaker,5.0
Animal Control Officer,25.0
Animal Keeper,5.0
Animal Technician,5.0
Animal Trainer,10.0
Animator,15.0
Announcer,30.0
Antenna Engineer,43.0
Apartment Leasing Agent,25.0
Apartment Property Manager,25.0
Apparel Designer,5.0
Application Developer,70.0
Applications Engineer,55.0
Appointment Scheduler,70.0
Appointment Setter,60.0
Appraiser,35.0
Aquatics Director,10.0
Arabic Linguist,70.0
Arborist,30.0
Archaeologist,15.0
Architect,10.0
Architectural Drafter,35.0
Architectural Draftsman,50.0
Architectural Engineer,15.0
Architectural Project Manager,40.0
Archivist,30.0
Area Supervisor,25.0
Armed Guard,40.0
Armed Security,40.0
Armed Security Officer,50.0
Armored Truck Driver,65.0
Armorer,30.0
Art Director,40.0
Art Handler,10.0
Art Model,5.0
Art Professor,10.0
Art Therapist,10.0
Artist,10.0
Artistic Director,10.0
Arts Manager,30.0
Asic Design Engineer,35.0
Asp.Net Developer,65.0
Assembly Line Worker,60.0
Assembly Operator,65.0
Assembly Technician,40.0
Assembly Worker,60.0
Assessor,15.0
Asset Management Analyst,15.0
Asset Manager,30.0
Asset Protection Manager,50.0
Assignment Editor,60.0
Assistant,82.0
Assistant Account Executive,45.0
Assistant Administrator,60.0
Assistant Art Director,40.0
Assistant Athletic Director,10.0
Assistant Basketball Coach,10.0
Assistant Bookkeeper,30.0
Assistant Branch Manager,67.0
Assistant Brand Manager,45.0
Assistant Buyer,40.0
Assistant Coach,10.0
Assistant Community Manager,25.0
Assistant Construction Manager,15.0
Assistant Controller,25.0
Assistant Cook,30.0
Assistant Dean,10.0
Assistant Designer,35.0
Assistant Director,65.0
Assistant Director Of Nursing,5.0
Assistant District Attorney,40.0
Assistant Engineer,15.0
Assistant Facility Manager,25.0
Assistant Football Coach,10.0
Assistant Front Office Manager,25.0
Assistant General Manager,10.0
Assistant Golf Professional,10.0
Assistant Hotel Manager,30.0
Assistant Librarian,30.0
Assistant Manager,28.0
Assistant Marketing Manager,45.0
Assistant Media Planner,50.0
Assistant Nurse Manager,45.0
Assistant Operations Manager,15.0
Assistant Portfolio Manager,5.0
Assistant Principal,15.0
Assistant Producer,57.0
Assistant Product Manager,40.0
Assistant Professor,10.0
Assistant Project Manager,35.0
Assistant Property Manager,30.0
Assistant Registrar,15.0
Assistant Restaurant Manager,35.0
Assistant Sales Manager,30.0
Assistant Soccer Coach,10.0
Assistant Store Manager,15.0
Assistant Superintendent,15.0
Assistant Teacher,25.0
Assisted Living Administrator,30.0
Associate,79.0
Associate Attorney,40.0
Associate Brand Manager,45.0
Associate Buyer,40.0
Associate Consultant,35.0
Associate Creative Director,55.0
Associate Dean,10.0
Associate Dentist,15.0
Associate Editor,45.0
Associate Marketing Manager,45.0
Associate Pastor,10.0
Associate Product Manager,35.0
Associate Professor,10.0
Associate Project Manager,40.0
Associate Scientist,40.0
Associate Software Engineer,65.0
Associate Veterinarian,5.0
Athletic Coordinator,10.0
Athletic Director,10.0
Atm Technician,40.0
Attorney,15.0
Attorney General,15.0
Au Pair,5.0
Audio Engineer,30.0
Audio Technician,45.0
Audio Visual Technician,25.0
Audiologist,10.0
Audit Associate,40.0
Audit Director,30.0
Auditor,60.0
Author,10.0
Auto Appraiser,11.0
Auto Body Painter,25.0
Auto Body Technician,40.0
Auto Damage Appraiser,19.0
Auto Detailer,10.0
Auto Glass Technician,30.0
Auto Mechanic,35.0
Auto Sales,55.0
Auto Technician,35.0
Autocad Designer,40.0
Autocad Drafter,65.0
Autocad Draftsman,45.0
Automation Engineer,65.0
Automation Specialist,40.0
Automation Technician,40.0
Automation Test Engineer,80.0
Automation Tester,80.0
Automotive Consultant,30.0
Automotive Detailer,18.0
Automotive Engineer,28.0
Automotive Instructor,30.0
Automotive Mechanic,35.0
Automotive Sales Manager,30.0
Automotive Service Advisor,18.0
Automotive Service Manager,25.0
Automotive Service Technician,48.0
Automotive Technician,35.0
Autopsy Assistant,60.0
Aviation Maintenance Technician,35.0
Aviation Mechanic,35.0
Aviation Technician,40.0
Avionics Engineer,42.0
Avionics Technician,55.0
Babysitter,10.0
Backend Developer,75.0
Background Investigator,30.0
Baggage Handler,15.0
Bailiff,5.0
Baker,20.0
Bakery Assistant,15.0
Bakery Clerk,25.0
Bakery Manager,84.0
Band Director,45.0
Bank Examiner,15.0
Bank Teller,70.0
Banker,10.0
Banking Analyst,25.0
Banking Consultant,15.0
Bankruptcy Paralegal,30.0
Bankruptcy Specialist,30.0
Banquet Captain,35.0
Banquet Chef,25.0
Banquet Manager,83.0
Bar Manager,40.0
Bar Server,20.0
Barback,15.0
Barber,15.0
Barista,14.0
Bartender,14.0
Baseball Coach,5.0
Basketball Coach,5.0
Basketball Referee,5.0
Beach Attendant,10.0
Beautician,5.0
Beauty Advisor,5.0
Beauty Consultant,5.0
Behavior Analyst,15.0
Behavior Interventionist,10.0
Behavior Technician,15.0
Behavioral Technician,40.0
Behavioral Therapist,15.0
Bellhop,10.0
Bellman,10.0
Bench Jeweler,25.0
Bench Technician,30.0
Benefits Administrator,30.0
Benefits Analyst,30.0
Benefits Consultant,30.0
Benefits Manager,10.0
Benefits Specialist,25.0
Beverage Manager,25.0
Beverage Server,20.0
Bi Analyst,40.0
Bi Developer,40.0
Bid Manager,15.0
Bike Mechanic,18.0
Bilingual,15.0
Bilingual Customer Service,15.0
Bilingual Teacher,15.0
Billing Analyst,40.0
Billing Assistant,30.0
Billing Clerk,45.0
Billing Coordinator,45.0
Billing Manager,55.0
Billing Representative,45.0
Billing Specialist,45.0
Billing Supervisor,45.0
Bindery Operator,30.0
Biochemist,50.0
Bioinformatician,30.0
Bioinformatics,30.0
Biological Scientist,40.0
Biological Technician,40.0
