Month,Users (millions),date,month,monthly_visits_(millions)
Dec 2022,100,2022-12-01,Dec 2022,60
Feb 2023,120,2023-02-01,Feb 2023,75
Apr 2023,150,2023-04-01,Apr 2023,90
Jun 2023,180,2023-06-01,Jun 2023,120
Aug 2023,210,2023-08-01,Aug 2023,130
Oct 2023,230,2023-10-01,Oct 2023,135
Dec 2023,250,2023-12-01,Dec 2023,140
Feb 2024,270,2024-02-01,Feb 2024,145
Apr 2024,290,2024-04-01,Apr 2024,160
Jun 2024,300,2024-06-01,Jun 2024,170
Aug 2024,310,2024-08-01,Aug 2024,175
Oct 2024,320,2024-10-01,Oct 2024,180
Dec 2024,350,2024-12-01,Dec 2024,200
Feb 2025,370,2025-02-01,Feb 2025,210
Apr 2025,400,2025-04-01,Apr 2025,225
