FIPS,County_Name,State,Bachelors_Degree_Rate,Median_Income,Unemployment_Rate
GeoID,GeoID_Name,SitsinState,pbach,mhhinc,unemprate
01001,Autauga,AL,15.99,69841,2.7
01003,Baldwin,AL,20.55,75019,2.7
01005,Barbour,AL,6.69,44290,4.3
01007,Bibb,AL,7.04,51215,3.0
01009,Blount,AL,9.97,61096,2.7
01011,Bullock,AL,6.68,36723,3.7
01013,Butler,AL,7.95,44881,3.9
01015,Calhoun,AL,12.52,55826,3.2
01017,Chambers,AL,9.75,49295,2.8
01019,Cherokee,AL,9.19,50769,3.1
01021,Chilton,AL,9.30,61873,2.8
01023,Choctaw,AL,9.90,44483,4.5
01025,Clarke,AL,9.68,49167,5.2
01027,Clay,AL,11.25,51852,3.0
01029,Cleburne,AL,11.06,53319,2.8
01031,Coffee,AL,12.19,64672,3.1
01033,Colbert,AL,12.87,56736,3.3
01035,Conecuh,AL,6.95,42266,4.2
01037,Coosa,AL,10.27,57063,3.3
01039,Covington,AL,9.81,50886,3.3
01041,Crenshaw,AL,11.49,49040,3.4
01043,Cullman,AL,12.43,60916,2.7
01045,Dale,AL,12.92,53955,3.5
01047,Dallas,AL,11.24,36810,5.5
01049,DeKalb,AL,8.49,51149,2.7
01051,Elmore,AL,16.11,75553,2.6
01053,Escambia,AL,8.16,44447,4.1
01055,Etowah,AL,10.61,53070,3.3
01057,Fayette,AL,9.87,50733,3.4
01059,Franklin,AL,9.62,51493,2.9
01061,Geneva,AL,9.55,50951,2.9
01063,Greene,AL,7.51,31495,6.7
01065,Hale,AL,11.04,41325,4.3
01067,Henry,AL,14.19,60135,3.2
01069,Houston,AL,14.31,57531,3.1
01071,Jackson,AL,9.46,49454,3.5
01073,Jefferson,AL,21.25,64589,3.1
01075,Lamar,AL,6.90,47447,3.4
01077,Lauderdale,AL,16.45,59082,3.2
01079,Lawrence,AL,10.36,60040,2.7
01081,Lee,AL,22.64,61123,2.8
01083,Limestone,AL,19.08,83534,2.5
01085,Lowndes,AL,9.09,35160,4.7
01087,Macon,AL,11.24,45951,4.4
01089,Madison,AL,27.05,83528,2.6
01091,Marengo,AL,12.08,44205,4.0
01093,Marion,AL,8.44,50714,3.5
01095,Marshall,AL,14.54,60946,2.7
01097,Mobile,AL,16.22,58119,3.8
